Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,21.0,1.0,21.0,21.0,0.0,12.204000000000002,0.0,0.0,0.017430782318115234,,,,,,,,,,,,,,,,,,,,,3.368479587307395,4.031007610608601,12.145407336002545,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,46.0,2.0,25.0,46.0,0.0,11.455000000000005,0.0,0.0,2.1378936767578125,,,,,,,,,,,,,,,,,,,,,2.6212520076770915,3.5502694974192215,11.400869569377452,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,94.0,3.0,48.0,94.0,0.0,28.404000000000014,0.0,0.0,5.67514443397522,,,,,,,,,,,,,,,,,,,,,11.394336420851637,8.270931469234117,27.884956808607736,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,138.0,4.0,44.0,138.0,0.0,37.20499999999996,0.0,0.0,9.168705701828003,,,,,,,,,,,,,,,,,,,,,13.453738064713606,12.344000590415428,36.64968521036296,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,154.0,5.0,16.0,154.0,0.0,5.905,0.0,0.0,10.531373977661133,,,,,,,,,,,,,,,,,,,,,1.208474285948037,1.8225002692628227,5.891555967392224,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,172.0,6.0,18.0,172.0,0.0,7.454,0.0,0.0,12.11021900177002,,,,,,,,,,,,,,,,,,,,,1.6663818074527994,2.3094327994872126,7.43143656402988,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,192.0,7.0,20.0,192.0,0.0,11.605,0.0,0.0,13.743712186813354,,,,,,,,,,,,,,,,,,,,,3.144931862834233,3.891539352502116,11.553655017761074,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,209.0,8.0,17.0,209.0,0.0,7.105,0.0,0.0,15.201900005340576,,,,,,,,,,,,,,,,,,,,,1.5541913521525546,2.244648990595778,7.085664411424833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,289.0,9.0,80.0,289.0,0.0,18.60500000000005,0.0,0.0,20.891545295715332,,,,,,,,,,,,,,,,,,,,,4.5586204234177625,3.881322636419713,18.258568935061646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,307.0,10.0,18.0,307.0,0.0,10.404000000000002,0.0,0.0,22.400049686431885,,,,,,,,,,,,,,,,,,,,,2.8514529040993324,3.5019941501737124,10.36303688461082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,339.0,11.0,32.0,339.0,0.0,12.460000000000003,0.0,0.0,24.876445055007935,,,,,,,,,,,,,,,,,,,,,2.3713961393293594,3.6930666894143793,12.39651183537684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,365.0,12.0,26.0,365.0,0.0,19.153000000000006,0.0,0.0,26.94970679283142,,,,,,,,,,,,,,,,,,,,,6.299222509354414,6.455883190486201,19.00822844319999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,402.0,13.0,37.0,402.0,0.0,18.506000000000014,0.0,0.0,29.729374647140503,,,,,,,,,,,,,,,,,,,,,4.42425596807112,5.711437523044889,18.360663192373746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,431.0,14.0,29.0,431.0,0.0,17.90500000000001,0.0,0.0,32.20105814933777,,,,,,,,,,,,,,,,,,,,,5.129695682605406,5.827153130211931,17.774012838042488,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,454.0,15.0,23.0,454.0,0.0,6.7059999999999995,0.0,0.0,34.146501302719116,,,,,,,,,,,,,,,,,,,,,1.2148786539503826,1.851205411448572,6.684742533492635,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,474.0,16.0,20.0,474.0,0.0,7.755,0.0,0.0,35.850178480148315,,,,,,,,,,,,,,,,,,,,,1.6626085405140647,2.3373869987967373,7.729477306496216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,501.0,17.0,27.0,501.0,0.0,12.607000000000003,0.0,0.0,37.986165046691895,,,,,,,,,,,,,,,,,,,,,2.8566165156124566,3.9333373691906073,12.542413767846313,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,535.0,18.0,34.0,535.0,0.0,28.704,0.0,0.0,40.581721782684326,,,,,,,,,,,,,,,,,,,,,10.493112593847101,9.584786538199845,28.375609781590796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,550.0,19.0,15.0,550.0,0.0,5.904,0.0,0.0,41.93252182006836,,,,,,,,,,,,,,,,,,,,,1.2879805344656157,1.8545281896136323,5.890570862845863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,642.0,20.0,92.0,642.0,0.0,16.09600000000008,0.0,0.0,48.42185020446777,,,,,,,,,,,,,,,,,,,,,2.6464736435628464,3.964424135793546,15.868392817609838,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,36.0,1.0,36.0,678.0,0.0,15.009000000000004,0.0,0.0,92.90745377540588,,,,,,,,,,,,,,,,,,,,,3.0023241329758323,4.489353792365352,14.91583216337625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,62.0,2.0,26.0,704.0,0.0,13.204000000000006,0.0,0.0,94.91689705848694,,,,,,,,,,,,,,,,,,,,,3.3415972288529456,4.130007932520672,13.130248720770597,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,144.0,3.0,82.0,786.0,0.0,46.85499999999991,0.0,0.0,101.06156659126282,,,,,,,,,,,,,,,,,,,,,16.891123970432055,12.980850893906235,45.51544327770227,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,166.0,4.0,22.0,808.0,0.0,9.905000000000005,0.0,0.0,102.81024193763733,,,,,,,,,,,,,,,,,,,,,2.241054083835625,3.097855464464435,9.86556237252814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,186.0,5.0,20.0,828.0,0.0,7.706,0.0,0.0,104.5754942893982,,,,,,,,,,,,,,,,,,,,,1.6261146791009693,2.328980571199954,7.681158865283265,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,215.0,6.0,29.0,857.0,0.0,11.706000000000008,0.0,0.0,106.89580130577087,,,,,,,,,,,,,,,,,,,,,2.6569908852836646,3.4041406390817963,11.640587852178955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,233.0,7.0,18.0,875.0,0.0,10.654000000000002,0.0,0.0,108.49963688850403,,,,,,,,,,,,,,,,,,,,,3.003469080077965,3.5802474913783024,10.610548104663257,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,271.0,8.0,38.0,913.0,0.0,13.107000000000014,0.0,0.0,111.3957097530365,,,,,,,,,,,,,,,,,,,,,2.8239773692116104,3.580231429637682,13.012701561531495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,300.0,9.0,29.0,942.0,0.0,17.15500000000001,0.0,0.0,113.68168830871582,,,,,,,,,,,,,,,,,,,,,4.642722292479409,5.615182518458375,17.03739845197007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,333.0,10.0,33.0,975.0,0.0,21.05500000000001,0.0,0.0,116.2241632938385,,,,,,,,,,,,,,,,,,,,,6.043276749373331,6.922938743276213,20.876448315586273,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,354.0,11.0,21.0,996.0,0.0,9.904000000000005,0.0,0.0,117.98031973838806,,,,,,,,,,,,,,,,,,,,,2.3467342529367854,3.1310388021115783,9.864583163852176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,381.0,12.0,27.0,1023.0,0.0,13.757000000000001,0.0,0.0,120.10879325866699,,,,,,,,,,,,,,,,,,,,,3.326374708972684,4.383985858707054,13.680868751609351,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,404.0,13.0,23.0,1046.0,0.0,11.105000000000004,0.0,0.0,121.9812822341919,,,,,,,,,,,,,,,,,,,,,2.6242994197625813,3.522890008104196,11.055696810155615,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,433.0,14.0,29.0,1075.0,0.0,14.705000000000005,0.0,0.0,124.51274752616882,,,,,,,,,,,,,,,,,,,,,3.685496455267451,4.572051287681978,14.61273333613338,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,460.0,15.0,27.0,1102.0,0.0,12.857000000000003,0.0,0.0,126.77608847618103,,,,,,,,,,,,,,,,,,,,,2.9945373826309574,4.012114468850455,12.788936427096063,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,488.0,16.0,28.0,1130.0,0.0,9.109000000000002,0.0,0.0,129.1118893623352,,,,,,,,,,,,,,,,,,,,,1.6060857611876787,2.571378512543136,9.073102701388134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,525.0,17.0,37.0,1167.0,0.0,16.706000000000017,0.0,0.0,131.95479917526245,,,,,,,,,,,,,,,,,,,,,3.819638283939533,4.974836100638317,16.581254638132375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,544.0,18.0,19.0,1186.0,0.0,10.405000000000001,0.0,0.0,133.6344666481018,,,,,,,,,,,,,,,,,,,,,2.7023674862591363,3.4675453491846984,10.36401903679787,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,561.0,19.0,17.0,1203.0,0.0,7.355,0.0,0.0,135.06016182899475,,,,,,,,,,,,,,,,,,,,,1.6860161150073474,2.325272372888899,7.333671397442319,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,582.0,20.0,21.0,1224.0,0.0,6.904999999999999,0.0,0.0,136.8528425693512,,,,,,,,,,,,,,,,,,,,,1.4076238328499684,1.9749927885802985,6.882322221731884,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,20.0,1.0,20.0,1244.0,0.0,8.606,0.0,0.0,177.86747407913208,,,,,,,,,,,,,,,,,,,,,1.8954405784262391,2.6914155943755187,8.57666785628776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,40.0,2.0,20.0,1264.0,0.0,9.805000000000003,0.0,0.0,179.59112644195557,,,,,,,,,,,,,,,,,,,,,2.382805571646048,3.1503563887783583,9.767110999566642,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,66.0,3.0,26.0,1290.0,0.0,12.905000000000005,0.0,0.0,181.7227749824524,,,,,,,,,,,,,,,,,,,,,3.147870473124418,4.051516640091035,12.835991359057825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,95.0,4.0,29.0,1319.0,0.0,24.803,0.0,0.0,183.9617371559143,,,,,,,,,,,,,,,,,,,,,9.245011098942603,8.315085744076951,24.559454132262925,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,113.0,5.0,18.0,1337.0,0.0,7.106000000000001,0.0,0.0,185.4809103012085,,,,,,,,,,,,,,,,,,,,,1.4688389333078877,2.2102615709671536,7.086647546747207,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,135.0,6.0,22.0,1359.0,0.0,9.304000000000004,0.0,0.0,187.30391597747803,,,,,,,,,,,,,,,,,,,,,2.130916185763253,2.8173898235220345,9.26638623014335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,154.0,7.0,19.0,1378.0,0.0,11.003000000000004,0.0,0.0,188.89218854904175,,,,,,,,,,,,,,,,,,,,,3.0827817295938043,3.6369135460759416,10.955382529667382,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,187.0,8.0,33.0,1411.0,0.0,11.509000000000007,0.0,0.0,191.4433090686798,,,,,,,,,,,,,,,,,,,,,2.246158659396433,3.2354134397445993,11.446323087327245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,214.0,9.0,27.0,1438.0,0.0,20.005000000000006,0.0,0.0,193.79393577575684,,,,,,,,,,,,,,,,,,,,,6.5549722285155685,6.774678105262652,19.847863613443526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,265.0,10.0,51.0,1489.0,0.0,41.45599999999996,0.0,0.0,197.5585970878601,,,,,,,,,,,,,,,,,,,,,14.388722280361723,13.70758308136277,40.76293810180336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,298.0,11.0,33.0,1522.0,0.0,18.10500000000001,0.0,0.0,200.1164631843567,,,,,,,,,,,,,,,,,,,,,4.667074678165905,5.742803637994212,17.968955491111643,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,329.0,12.0,31.0,1553.0,0.0,23.905000000000005,0.0,0.0,202.53561758995056,,,,,,,,,,,,,,,,,,,,,8.07533576491477,8.043574942337957,23.678342934221863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,366.0,13.0,37.0,1590.0,0.0,19.009000000000018,0.0,0.0,205.3278739452362,,,,,,,,,,,,,,,,,,,,,4.504634224245853,5.983971445659021,18.86118972342634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,392.0,14.0,26.0,1616.0,0.0,14.955000000000002,0.0,0.0,207.46268224716187,,,,,,,,,,,,,,,,,,,,,4.024039533152572,4.8725263928139775,14.865240212350386,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,406.0,15.0,14.0,1630.0,0.0,5.854,0.0,0.0,208.73845911026,,,,,,,,,,,,,,,,,,,,,1.3406071067495444,1.878897198891556,5.841072573078585,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,443.0,16.0,37.0,1667.0,0.0,11.807000000000013,0.0,0.0,211.57070922851562,,,,,,,,,,,,,,,,,,,,,2.2227343842386693,3.1820000305370533,11.73649532310628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,493.0,17.0,50.0,1717.0,0.0,28.705000000000016,0.0,0.0,215.28300285339355,,,,,,,,,,,,,,,,,,,,,10.792479498322693,8.087286290527814,28.19356959467854,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,518.0,18.0,25.0,1742.0,0.0,20.253000000000004,0.0,0.0,217.77697014808655,,,,,,,,,,,,,,,,,,,,,7.265576478446982,6.833086714860712,20.09145204007891,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,534.0,19.0,16.0,1758.0,0.0,7.354,0.0,0.0,219.52302718162537,,,,,,,,,,,,,,,,,,,,,1.7903380798436705,2.3571795224504135,7.3326872780005035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,582.0,20.0,48.0,1806.0,0.0,13.207000000000019,0.0,0.0,223.06478142738342,,,,,,,,,,,,,,,,,,,,,2.711560135722472,3.3682032384428515,13.089935048533855,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,76.0,1.0,76.0,1882.0,0.0,27.956000000000042,0.0,0.0,268.82044672966003,,,,,,,,,,,,,,,,,,,,,10.192931664732749,6.663479520724264,27.208545739219534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,127.0,2.0,51.0,1933.0,0.0,31.856000000000012,0.0,0.0,272.5903685092926,,,,,,,,,,,,,,,,,,,,,8.82099579969548,10.248017794936208,31.437566780996526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,179.0,3.0,52.0,1985.0,0.0,38.155999999999935,0.0,0.0,276.4544243812561,,,,,,,,,,,,,,,,,,,,,12.191561826025131,12.465295926599458,37.55959838343013,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,215.0,4.0,36.0,2021.0,0.0,29.054000000000002,0.0,0.0,279.272789478302,,,,,,,,,,,,,,,,,,,,,10.18163790714253,9.694112434969675,28.716177212555426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,239.0,5.0,24.0,2045.0,0.0,10.255000000000006,0.0,0.0,281.2186875343323,,,,,,,,,,,,,,,,,,,,,2.25543460927291,3.127944720729246,10.211080650027478,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
