Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,51.0,1.0,51.0,51.0,0.0,70.007,0.0,0.0,0.017615795135498047,,,,,,,,,,,,,,,,,,,,,4.279800822760136,2.203420456420626,6.465782016814164,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,81.0,2.0,30.0,81.0,0.0,32.90599999999999,0.0,0.0,2.401068687438965,,,,,,,,,,,,,,,,,,,,,3.230846662292314,2.0328722772350405,5.7087186407803765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,133.0,3.0,52.0,133.0,0.0,61.50699999999999,0.0,0.0,6.146595239639282,,,,,,,,,,,,,,,,,,,,,3.693383153186274,1.8244465149239832,6.137675831761298,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,160.0,4.0,27.0,160.0,0.0,26.007000000000016,0.0,0.0,8.408941984176636,,,,,,,,,,,,,,,,,,,,,2.713570631221944,2.0049040495903663,6.075669157351534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,204.0,5.0,44.0,204.0,0.0,40.10999999999999,0.0,0.0,11.743542194366455,,,,,,,,,,,,,,,,,,,,,2.752484248841878,2.044977632827815,6.154551917064575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,249.0,6.0,45.0,249.0,0.0,53.706999999999994,0.0,0.0,15.068450450897217,,,,,,,,,,,,,,,,,,,,,3.7102369617835076,2.1103510212501884,6.102840373906618,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,283.0,7.0,34.0,283.0,0.0,30.210000000000022,0.0,0.0,17.65428924560547,,,,,,,,,,,,,,,,,,,,,2.582455546435039,2.1289392794408055,6.0756659660717105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,362.0,8.0,79.0,362.0,0.0,94.40899999999996,0.0,0.0,23.338130235671997,,,,,,,,,,,,,,,,,,,,,3.8270629332424813,1.8719183490726117,5.968865014232861,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,406.0,9.0,44.0,406.0,0.0,46.70899999999999,0.0,0.0,26.5412118434906,,,,,,,,,,,,,,,,,,,,,3.2223000548935867,2.098664803621188,6.35210027240593,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,464.0,10.0,58.0,464.0,0.0,79.006,0.0,0.0,30.739638328552246,,,,,,,,,,,,,,,,,,,,,4.327539351357423,1.8577737503647926,6.05356109372357,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,523.0,11.0,59.0,523.0,0.0,60.608999999999995,0.0,0.0,35.08540654182434,,,,,,,,,,,,,,,,,,,,,3.2253654092855566,1.8871870663218357,6.047138564841589,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,554.0,12.0,31.0,554.0,0.0,35.40699999999999,0.0,0.0,37.509347915649414,,,,,,,,,,,,,,,,,,,,,3.3205878007818357,2.3369226511342256,6.46504778961275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,596.0,13.0,42.0,596.0,0.0,47.00799999999999,0.0,0.0,40.885961055755615,,,,,,,,,,,,,,,,,,,,,3.4355701702029324,2.092602114280281,6.197311939005715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,636.0,14.0,40.0,636.0,0.0,52.904999999999994,0.0,0.0,44.22279334068298,,,,,,,,,,,,,,,,,,,,,4.112855985997777,2.0824873313584806,6.377753263009479,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,725.0,15.0,89.0,725.0,0.0,72.72599999999998,0.0,0.0,50.47020888328552,,,,,,,,,,,,,,,,,,,,,2.572448842981302,1.9012335179886055,5.79806702373688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,0.0,0.0,0.0,0.0,30.0,755.0,0.0,31.507000000000016,0.0,0.0,89.10756182670593,,,,,,,,,0.69721127,0.52774584,1.8136463,0.25042403,,,,,7.340385,4.906698,24.288364,1.0999063,3.0906391553362154,2.2051504121630483,5.6990914086795845,0.001,2.182635,0.0,2.182635,2.182635,-1.1763952578809607e-16,1.0,1.458493669024928,-1.650220595748196,-0.06567094,0.014494416,-0.027454503,-0.10873972,0.7409546,0.517741,1.8359008,0.30951378,-0.021908116,0.0120091755,-0.00034204667,-0.037263356,3.087969298992284,1.884907836428093,5.824954388271297,-0.005558422629617393,0.013846373,0.0,0.013846373,0.013846373,0.9954906,0.16129023,1.5057689,0.6865911,0.990453,0.14947373,1.2,0.8
17,1.0,0.0,0.0,33.0,1.0,33.0,788.0,0.0,31.10900000000002,0.0,0.0,95.37937378883362,,,,,,,,,,,,,,,,,,,,,2.765751142329662,2.0812039777752833,5.949869599901462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,0.0,99.0,2.0,66.0,854.0,0.0,63.108000000000025,0.0,0.0,100.10672330856323,,,,,,,,,,,,,,,,,,,,,3.004303153084855,1.5953701645183755,5.511443435734519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,143.0,3.0,44.0,898.0,0.0,51.70799999999999,0.0,0.0,103.49997687339783,,,,,,,,,,,,,,,,,,,,,3.608407839200129,2.2530335509998256,5.9589284856434945,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,179.0,4.0,36.0,934.0,0.0,32.80899999999999,0.0,0.0,106.21737813949585,,,,,,,,,,,,,,,,,,,,,2.6595899093206685,2.073982194315072,5.836327113338254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,208.0,5.0,29.0,963.0,0.0,29.406000000000013,0.0,0.0,108.46665120124817,,,,,,,,,,,,,,,,,,,,,2.9741391704419753,1.9394893456850626,5.376291428071288,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,231.0,6.0,23.0,986.0,0.0,15.107999999999993,0.0,0.0,110.53448295593262,,,,,,,,,,,,,,,,,,,,,1.715911453662971,1.614973637672145,4.668872813893568,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,303.0,7.0,72.0,1058.0,0.0,101.40800000000002,0.0,0.0,115.70475769042969,,,,,,,,,,,,,,,,,,,,,4.509539691355632,1.9325624072319545,6.450641154961609,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
